               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11765,            0.067446,                   0,                   0,                   0,                   0,                   0,             0.11251,            0.069576,                   0,              0.0919,              0.0009,              0.0009
                   1,             0.11486,            0.068801,                   0,                   0,                   0,                   0,                   0,              0.1097,            0.072113,                   0,            0.082894,           0.0018937,           0.0018937
                   2,             0.11188,            0.072839,                   0,                   0,                   0,                   0,                   0,             0.10785,            0.073719,                   0,            0.073881,           0.0028809,           0.0028809
                   3,             0.10975,            0.083275,                   0,                   0,                   0,                   0,                   0,             0.10618,            0.075149,                   0,            0.064861,           0.0038614,           0.0038614
                   4,             0.10797,            0.077476,                   0,          0.00045455,            0.022556,          0.00023469,          5.4214e-05,             0.10483,            0.076283,                   0,            0.055835,           0.0048353,           0.0048353
                   5,             0.10701,             0.08127,                   0,          0.00045455,            0.022556,           0.0002749,           7.028e-05,             0.10371,            0.077114,                   0,            0.046803,           0.0058027,           0.0058027
                   6,             0.10319,            0.071052,                   0,          0.00045455,            0.022556,          0.00041351,          9.8048e-05,             0.10306,            0.077508,                   0,            0.037763,           0.0067634,           0.0067634
                   7,             0.10279,            0.073943,                   0,          0.00045455,            0.022556,          0.00026695,          7.8535e-05,             0.10122,            0.078121,                   0,            0.028718,           0.0077175,           0.0077175
                   8,            0.099964,            0.064263,                   0,          0.00060606,            0.030075,          0.00043097,          9.1329e-05,            0.099471,            0.077703,                   0,            0.019665,            0.008665,            0.008665
                   9,            0.097813,            0.059237,                   0,             0.36152,             0.18797,             0.22478,            0.064928,            0.094135,            0.067087,                   0,            0.010606,            0.009606,            0.009606
                  10,             0.10003,            0.052621,                   0,            0.014848,             0.73684,            0.054224,           0.0097028,            0.097978,            0.065263,                   0,             0.00967,             0.00967,             0.00967
                  11,            0.096537,            0.059665,                   0,             0.17548,             0.60902,             0.17905,            0.053356,            0.092496,            0.065666,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.090299,            0.061568,                   0,             0.40995,             0.49624,             0.41159,             0.10866,            0.081863,            0.059696,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.091076,            0.057005,                   0,             0.23203,             0.51128,             0.25169,            0.056276,             0.10328,            0.045534,                   0,            0.009604,            0.009604,            0.009604
                  14,             0.10037,             0.05159,                   0,            0.087088,             0.54887,            0.069302,            0.020325,             0.10014,            0.046768,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.096373,            0.055456,                   0,             0.11059,             0.50376,            0.097924,            0.034039,            0.090345,            0.054257,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.087572,            0.060899,                   0,            0.077038,             0.65414,            0.072409,            0.023482,             0.08243,             0.06337,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.083882,            0.055236,                   0,             0.17537,             0.53383,              0.1397,            0.036234,            0.096375,            0.052928,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.095034,            0.053569,                   0,              0.1421,              0.5188,              0.1348,            0.042432,            0.080119,            0.056055,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.085304,            0.058626,                   0,              0.2124,              0.5188,             0.22195,            0.074546,            0.079328,            0.053196,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.073455,             0.06244,                   0,             0.32046,              0.4812,             0.31665,             0.11082,            0.071858,            0.055263,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.069523,            0.062536,                   0,             0.18287,              0.4812,             0.21291,            0.051519,            0.081606,            0.057881,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.086481,            0.065674,                   0,             0.03902,              0.5188,            0.041118,            0.011231,            0.091631,            0.084229,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.089187,            0.059138,                   0,            0.098021,             0.69925,            0.089053,            0.020949,            0.084583,            0.065608,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.080986,            0.060998,                   0,             0.13117,             0.80451,             0.12855,            0.044695,            0.079601,             0.06424,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.080936,            0.062758,                   0,             0.22063,             0.76413,             0.23171,            0.058595,            0.083362,             0.05754,                   0,            0.009208,            0.009208,            0.009208
                  26,             0.08823,            0.060402,                   0,            0.019527,             0.85714,            0.022812,           0.0075674,            0.086658,            0.073503,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.091473,            0.057695,                   0,            0.033859,             0.70677,             0.03549,            0.012423,            0.083592,            0.064327,                   0,            0.009142,            0.009142,            0.009142
                  28,             0.08532,            0.056956,                   0,            0.075704,             0.58647,            0.071436,            0.022097,             0.08205,            0.057789,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.084751,             0.05651,                   0,              0.5112,             0.60902,             0.50167,             0.15957,            0.077734,            0.051546,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.086302,             0.05178,                   0,             0.24038,              0.3985,             0.19184,            0.047908,            0.078103,            0.053154,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.079392,            0.051123,                   0,             0.46396,             0.64662,             0.48153,              0.1768,             0.06947,            0.053592,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.068991,            0.050209,                   0,               0.566,             0.65698,             0.62032,             0.24754,             0.06496,            0.051041,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.067114,            0.048716,                   0,             0.37492,             0.86466,              0.4199,             0.12747,            0.085101,            0.052601,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.085556,            0.053374,                   0,             0.23831,             0.26316,             0.20342,            0.061329,            0.078883,             0.04694,                   0,            0.008911,            0.008911,            0.008911
                  35,             0.07622,            0.060397,                   0,             0.27758,             0.69173,             0.41619,             0.11901,            0.066604,            0.051865,                   0,            0.008878,            0.008878,            0.008878
                  36,            0.065024,            0.064129,                   0,             0.46806,             0.69925,             0.64058,             0.23857,            0.060945,            0.053522,                   0,            0.008845,            0.008845,            0.008845
                  37,            0.063595,             0.05757,                   0,             0.58604,             0.80896,             0.75518,             0.25856,            0.060395,            0.049075,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.065365,             0.05283,                   0,             0.46295,             0.71429,             0.58131,             0.22048,            0.059257,             0.04887,                   0,            0.008779,            0.008779,            0.008779
                  39,             0.06377,            0.045958,                   0,             0.46402,             0.74436,             0.58262,             0.20013,            0.058894,            0.047764,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.056763,            0.045586,                   0,             0.58119,             0.76692,             0.74412,             0.31259,            0.053036,            0.049685,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.057759,            0.050019,                   0,             0.27712,             0.83876,             0.33265,              0.1102,            0.074564,            0.062444,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.073662,            0.058137,                   0,             0.29085,             0.74436,             0.34739,               0.111,            0.061625,            0.044797,                   0,            0.008647,            0.008647,            0.008647
