               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12246,            0.050945,                   0,                   0,                   0,                   0,                   0,             0.11516,            0.047201,                   0,              0.0991,              0.0001,              0.0001
                   1,             0.12784,            0.050228,                   0,                   0,                   0,                   0,                   0,             0.11523,            0.046519,                   0,            0.097241,           0.0002406,           0.0002406
                   2,             0.12462,             0.05348,                   0,                   0,                   0,                   0,                   0,             0.11531,            0.045873,                   0,            0.095302,            0.000302,            0.000302
                   3,              0.1252,            0.057775,                   0,                   0,                   0,                   0,                   0,             0.11552,            0.045222,                   0,            0.093284,           0.0002842,           0.0002842
                   4,             0.12016,            0.050771,                   0,                   0,                   0,                   0,                   0,             0.11547,            0.044906,                   0,            0.091187,           0.0001872,           0.0001872
