               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11747,            0.066994,                   0,                   0,                   0,                   0,                   0,             0.11324,            0.069451,                   0,              0.0919,              0.0009,              0.0009
                   1,             0.11593,             0.06868,                   0,                   0,                   0,                   0,                   0,             0.11093,            0.071306,                   0,            0.082894,           0.0018937,           0.0018937
                   2,             0.11253,            0.078193,                   0,          0.00015152,           0.0075188,          7.6698e-05,          7.6698e-06,             0.10924,            0.072635,                   0,            0.073881,           0.0028809,           0.0028809
                   3,             0.11137,            0.081388,                   0,          0.00030303,            0.015038,           0.0001608,          2.3779e-05,             0.10772,            0.073852,                   0,            0.064861,           0.0038614,           0.0038614
                   4,             0.10732,            0.074922,                   0,          0.00030303,            0.015038,          0.00016017,          3.9774e-05,             0.10615,            0.075163,                   0,            0.055835,           0.0048353,           0.0048353
                   5,             0.10633,            0.080771,                   0,          0.00030303,            0.015038,          0.00016266,          4.8093e-05,             0.10508,            0.076095,                   0,            0.046803,           0.0058027,           0.0058027
                   6,             0.10256,             0.08076,                   0,          0.00030303,            0.015038,          0.00016161,           5.561e-05,             0.10439,            0.076665,                   0,            0.037763,           0.0067634,           0.0067634
                   7,             0.10214,            0.086096,                   0,          0.00060606,            0.030075,          0.00031919,          7.0842e-05,             0.10267,            0.078034,                   0,            0.028718,           0.0077175,           0.0077175
                   8,            0.099105,            0.076892,                   0,          0.00030303,            0.015038,          0.00015658,          5.4354e-05,             0.10123,            0.079235,                   0,            0.019665,            0.008665,            0.008665
