               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12419,            0.053859,                   0,                   0,                   0,                   0,                   0,              0.1153,            0.047016,                   0,              0.0991,              0.0001,              0.0001
                   1,             0.12326,            0.052924,                   0,                   0,                   0,                   0,                   0,             0.11543,            0.046484,                   0,            0.097299,          0.00029851,          0.00029851
                   2,              0.1238,            0.055056,                   0,                   0,                   0,                   0,                   0,             0.11534,            0.045936,                   0,            0.095495,          0.00049505,          0.00049505
                   3,              0.1245,            0.051967,                   0,                   0,                   0,                   0,                   0,              0.1151,            0.045501,                   0,             0.09369,           0.0006896,           0.0006896
                   4,             0.12321,            0.054428,                   0,                   0,                   0,                   0,                   0,             0.11482,            0.045175,                   0,            0.091882,          0.00088218,          0.00088218
                   5,             0.12232,            0.050665,                   0,                   0,                   0,                   0,                   0,             0.11402,            0.045114,                   0,            0.090073,           0.0010728,           0.0010728
                   6,             0.12461,            0.053641,                   0,                   0,                   0,                   0,                   0,             0.11318,            0.045182,                   0,            0.088261,           0.0012614,           0.0012614
                   7,              0.1179,            0.056571,                   0,                   0,                   0,                   0,                   0,             0.11226,            0.045364,                   0,            0.086448,            0.001448,            0.001448
                   8,             0.11931,            0.061274,                   0,                   0,                   0,                   0,                   0,             0.11129,            0.045625,                   0,            0.084633,           0.0016327,           0.0016327
                   9,               0.116,            0.056539,                   0,                   0,                   0,                   0,                   0,             0.10953,            0.046266,                   0,            0.082815,           0.0018154,           0.0018154
                  10,             0.11673,            0.049766,                   0,                   0,                   0,                   0,                   0,              0.1076,            0.047102,                   0,            0.080996,            0.001996,            0.001996
                  11,             0.11999,            0.053618,                   0,                   0,                   0,                   0,                   0,              0.1076,            0.047102,                   0,            0.079175,           0.0021748,           0.0021748
                  12,             0.11568,            0.062112,                   0,                   0,                   0,                   0,                   0,             0.10601,            0.047771,                   0,            0.077352,           0.0023515,           0.0023515
                  13,             0.11772,            0.057599,                   0,          0.00083333,            0.047619,          0.00074251,          7.4251e-05,             0.10459,             0.04838,                   0,            0.075526,           0.0025263,           0.0025263
                  14,             0.11649,            0.063983,                   0,          0.00083333,            0.047619,          0.00074251,          7.4251e-05,             0.10459,             0.04838,                   0,            0.073699,            0.002699,            0.002699
                  15,             0.11402,            0.064212,                   0,          0.00083333,            0.047619,          0.00068025,          6.8025e-05,             0.10333,            0.048912,                   0,             0.07187,           0.0028698,           0.0028698
                  16,             0.11071,            0.053963,                   0,          0.00083333,            0.047619,            0.000649,            6.49e-05,             0.10162,            0.049477,                   0,            0.070039,           0.0030386,           0.0030386
                  17,             0.11344,            0.057019,                   0,          0.00083333,            0.047619,            0.000649,            6.49e-05,             0.10162,            0.049477,                   0,            0.068205,           0.0032055,           0.0032055
                  18,             0.11002,            0.049367,                   0,          0.00083333,            0.047619,          0.00066216,          6.6216e-05,            0.099928,            0.050046,                   0,             0.06637,           0.0033703,           0.0033703
                  19,             0.10703,            0.060298,                   0,          0.00083333,            0.047619,          0.00066216,          6.6216e-05,            0.099928,            0.050046,                   0,            0.064533,           0.0035332,           0.0035332
                  20,             0.11042,            0.064277,                   0,          0.00083333,            0.047619,           0.0004374,           4.374e-05,            0.098671,            0.050346,                   0,            0.062694,           0.0036941,           0.0036941
                  21,             0.10773,            0.065886,                   0,          0.00083333,            0.047619,           0.0004374,           4.374e-05,            0.098671,            0.050346,                   0,            0.060853,            0.003853,            0.003853
                  22,             0.10956,            0.068842,                   0,          0.00083333,            0.047619,          0.00045989,          9.1979e-05,            0.097381,             0.05056,                   0,             0.05901,           0.0040099,           0.0040099
                  23,             0.10823,            0.059015,                   0,          0.00083333,            0.047619,          0.00045989,          9.1979e-05,            0.097381,             0.05056,                   0,            0.057165,           0.0041649,           0.0041649
                  24,             0.11018,            0.065339,                   0,          0.00083333,            0.047619,          0.00046133,          0.00018453,            0.096005,            0.050334,                   0,            0.055318,           0.0043179,           0.0043179
                  25,             0.10451,            0.062286,                   0,          0.00083333,            0.047619,          0.00046133,          0.00018453,            0.096005,            0.050334,                   0,            0.053469,           0.0044689,           0.0044689
                  26,             0.10788,            0.066041,                   0,          0.00083333,            0.047619,          0.00046133,          0.00018453,            0.096005,            0.050334,                   0,            0.051618,           0.0046179,           0.0046179
                  27,             0.10732,            0.067015,                   0,           0.0016667,            0.095238,           0.0010297,          0.00028438,             0.09563,             0.04971,                   0,            0.049765,           0.0047649,           0.0047649
                  28,             0.10409,             0.04926,                   0,           0.0016667,            0.095238,           0.0010297,          0.00028438,             0.09563,             0.04971,                   0,             0.04791,             0.00491,             0.00491
                  29,             0.10416,            0.068715,                   0,              0.0025,             0.14286,           0.0015717,           0.0002924,            0.093763,            0.049655,                   0,            0.046053,           0.0050531,           0.0050531
                  30,             0.10386,            0.068092,                   0,              0.0025,             0.14286,           0.0015717,           0.0002924,            0.093763,            0.049655,                   0,            0.044194,           0.0051941,           0.0051941
