               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12144,            0.068283,                   0,                   0,                   0,                   0,                   0,             0.11156,            0.070822,                   0,              0.0919,              0.0009,              0.0009
                   1,             0.11997,            0.069284,                   0,          0.00015152,           0.0075188,          7.7386e-05,          7.7386e-06,             0.10884,            0.072833,                   0,            0.082524,           0.0015238,           0.0015238
                   2,             0.11627,            0.063416,                   0,          0.00030303,            0.015038,          0.00015697,          3.1395e-05,             0.10773,            0.073634,                   0,            0.072752,           0.0017516,           0.0017516
                   3,             0.11485,            0.063532,                   0,          0.00030303,            0.015038,          0.00015712,          4.7136e-05,             0.10618,            0.074804,                   0,            0.062583,           0.0015834,           0.0015834
                   4,             0.11374,            0.068797,                   0,          0.00045455,            0.022556,          0.00023268,          4.6619e-05,             0.10476,            0.075905,                   0,            0.052019,           0.0010192,           0.0010192
