               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11691,            0.053106,                   0,                   0,                   0,                   0,                   0,             0.10548,            0.048629,                   0,                 0.1,                   0,                   0
                   1,             0.11475,            0.054002,                   0,                   0,                   0,                   0,                   0,             0.10525,            0.048793,                   0,              0.0991,           9.967e-05,           9.967e-05
                   2,             0.11309,            0.057421,                   0,                   0,                   0,                   0,                   0,             0.10486,            0.048916,                   0,            0.098199,          0.00019868,          0.00019868
                   3,             0.11648,            0.053803,                   0,                   0,                   0,                   0,                   0,             0.10442,            0.049073,                   0,            0.097297,          0.00029703,          0.00029703
                   4,             0.11653,            0.068967,                   0,                   0,                   0,                   0,                   0,             0.10393,            0.049238,                   0,            0.096395,          0.00039472,          0.00039472
                   5,              0.1147,            0.059832,                   0,                   0,                   0,                   0,                   0,             0.10344,            0.049399,                   0,            0.095492,          0.00049175,          0.00049175
                   6,              0.1126,            0.055295,                   0,                   0,                   0,                   0,                   0,             0.10298,            0.049545,                   0,            0.094588,          0.00058812,          0.00058812
                   7,             0.11664,            0.071332,                   0,                   0,                   0,                   0,                   0,             0.10248,             0.04969,                   0,            0.093684,          0.00068383,          0.00068383
                   8,             0.11853,            0.066945,                   0,                   0,                   0,                   0,                   0,             0.10198,            0.049852,                   0,            0.092779,          0.00077888,          0.00077888
                   9,             0.11163,            0.060025,                   0,                   0,                   0,                   0,                   0,             0.10152,            0.050002,                   0,            0.091873,          0.00087327,          0.00087327
                  10,              0.1127,            0.071362,                   0,                   0,                   0,                   0,                   0,             0.10107,            0.050136,                   0,            0.090967,            0.000967,            0.000967
                  11,              0.1135,            0.068463,                   0,                   0,                   0,                   0,                   0,             0.10058,            0.050294,                   0,             0.09006,           0.0010601,           0.0010601
                  12,             0.11485,            0.068045,                   0,          0.00083333,            0.047619,           0.0004717,           4.717e-05,             0.10012,            0.050448,                   0,            0.089152,           0.0011525,           0.0011525
                  13,             0.11111,            0.056016,                   0,          0.00083333,            0.047619,          0.00049159,          4.9159e-05,            0.099672,            0.050595,                   0,            0.088244,           0.0012442,           0.0012442
                  14,             0.11559,            0.082788,                   0,          0.00083333,            0.047619,          0.00048846,          4.8846e-05,            0.099272,            0.050732,                   0,            0.087335,           0.0013353,           0.0013353
                  15,             0.11413,            0.083951,                   0,          0.00083333,            0.047619,          0.00047043,          4.7043e-05,            0.098872,            0.050867,                   0,            0.086426,           0.0014257,           0.0014257
                  16,             0.11216,            0.061559,                   0,          0.00083333,            0.047619,          0.00048187,          4.8187e-05,              0.0985,            0.050986,                   0,            0.085516,           0.0015155,           0.0015155
                  17,             0.10685,            0.050141,                   0,          0.00083333,            0.047619,          0.00048187,          4.8187e-05,              0.0985,            0.050986,                   0,            0.084605,           0.0016046,           0.0016046
                  18,             0.10961,            0.055542,                   0,          0.00083333,            0.047619,          0.00050488,          5.0488e-05,            0.098153,            0.051103,                   0,            0.083693,           0.0016931,           0.0016931
                  19,             0.10754,            0.062659,                   0,          0.00083333,            0.047619,          0.00050488,          5.0488e-05,            0.098153,            0.051103,                   0,            0.082781,           0.0017809,           0.0017809
