               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11384,            0.078353,                   0,             0.00025,            0.011029,          0.00012921,          3.0599e-05,             0.10958,            0.075134,                   0,              0.0829,              0.0019,              0.0019
                   1,             0.10675,             0.07602,                   0,          0.00058333,            0.025735,          0.00030418,          7.8501e-05,             0.10521,             0.07848,                   0,            0.064887,           0.0038871,           0.0038871
                   2,             0.10506,            0.084796,                   0,           0.0010833,            0.047794,          0.00056957,           0.0001123,             0.10333,            0.080171,                   0,            0.046861,           0.0058611,           0.0058611
                   3,             0.10288,            0.083235,                   0,           0.0011667,            0.051471,          0.00063799,          0.00012399,             0.10267,            0.080792,                   0,            0.028822,           0.0078218,           0.0078218
                   4,             0.10253,            0.088309,                   0,           0.0013333,            0.058824,           0.0007269,          0.00012423,             0.10217,            0.081328,                   0,            0.010769,           0.0097693,           0.0097693
                   5,             0.10187,              0.0846,                   0,             0.00125,            0.055147,          0.00066023,          0.00012158,             0.10184,            0.081624,                   0,            0.009835,            0.009835,            0.009835
                   6,             0.10172,            0.083892,                   0,           0.0014167,              0.0625,           0.0008846,           0.0001703,             0.10073,            0.081791,                   0,            0.009835,            0.009835,            0.009835
                   7,             0.10159,             0.08541,                   0,            0.011713,            0.018382,           0.0028301,          0.00073849,              0.1012,            0.077571,                   0,            0.009802,            0.009802,            0.009802
                   8,             0.10062,            0.086258,                   0,           0.0060571,             0.23162,           0.0038665,           0.0011229,             0.10378,             0.10212,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.098927,            0.079091,                   0,              0.0035,             0.15441,           0.0020398,          0.00067095,             0.10886,             0.12214,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.095724,            0.075261,                   0,           0.0053333,             0.23529,           0.0034128,            0.001031,             0.10442,             0.10526,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.094349,            0.078967,                   0,           0.0058333,             0.25735,           0.0037756,           0.0010367,             0.10603,             0.10957,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.092308,            0.081071,                   0,           0.0054167,             0.23897,           0.0034891,           0.0009535,              0.1094,             0.15404,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.091945,            0.077655,                   0,           0.0052025,             0.20956,           0.0031247,            0.001041,             0.10919,             0.35192,                   0,            0.009604,            0.009604,            0.009604
                  14,             0.08935,            0.079912,                   0,           0.0080987,             0.28676,           0.0053063,           0.0014268,             0.11958,             0.15149,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.085833,            0.079042,                   0,           0.0055944,             0.20956,           0.0034434,          0.00099787,             0.13551,             0.79725,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.081292,            0.074892,                   0,           0.0067534,             0.27574,           0.0042333,           0.0012717,             0.11558,             0.36867,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.081889,            0.071771,                   0,            0.016714,             0.22059,           0.0091362,           0.0026299,             0.10095,             0.12723,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.075177,            0.070965,                   0,            0.076815,              0.1875,            0.038568,            0.009591,            0.087237,            0.070608,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.072541,            0.067786,                   0,            0.029612,             0.31618,            0.021378,           0.0059012,             0.10125,             0.12211,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.076811,            0.067178,                   0,             0.17178,             0.10662,             0.03891,            0.011817,            0.094903,            0.072431,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.084317,            0.071937,                   0,             0.34544,             0.30515,             0.18376,            0.063779,             0.09137,            0.070237,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.079679,            0.068107,                   0,             0.31806,               0.625,             0.31516,            0.095899,            0.081886,            0.070851,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.076867,            0.066214,                   0,             0.31302,             0.61029,             0.29403,            0.087176,            0.080259,            0.058324,                   0,            0.009274,            0.009274,            0.009274
                  24,             0.07719,             0.06016,                   0,             0.39461,             0.52483,             0.36778,             0.11811,            0.065562,            0.061945,                   0,            0.009241,            0.009241,            0.009241
                  25,             0.07167,            0.065699,                   0,             0.24596,             0.61029,             0.29184,              0.1015,            0.069945,            0.062821,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.068953,            0.063105,                   0,             0.17927,             0.40809,             0.18981,            0.053754,            0.081477,            0.064329,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.071674,             0.05874,                   0,             0.44815,             0.71324,             0.47002,             0.15437,            0.060256,            0.056951,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.063341,            0.058327,                   0,             0.36793,             0.29533,             0.31669,            0.096745,            0.072383,            0.052148,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.063697,            0.058712,                   0,             0.56175,             0.57494,             0.57827,             0.21466,            0.057608,            0.051603,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.061933,             0.05433,                   0,             0.35943,              0.5343,             0.37663,             0.14002,            0.064519,            0.053298,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.063896,            0.055546,                   0,             0.34681,             0.79044,             0.41401,             0.17402,            0.060163,            0.050939,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.061763,            0.051878,                   0,             0.49697,             0.70956,             0.54237,             0.21897,            0.056671,             0.05049,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.064003,            0.054301,                   0,              0.3157,             0.64338,             0.35959,             0.13767,            0.061825,            0.050099,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.061225,            0.054317,                   0,             0.22119,             0.69853,             0.23975,            0.077752,            0.061347,            0.058789,                   0,            0.008911,            0.008911,            0.008911
                  35,            0.063469,            0.065345,                   0,             0.68243,             0.71896,             0.74956,             0.29798,            0.059968,            0.058441,                   0,            0.008878,            0.008878,            0.008878
                  36,             0.06259,            0.057936,                   0,             0.72728,             0.66669,             0.75555,             0.32555,            0.054077,            0.048299,                   0,            0.008845,            0.008845,            0.008845
