               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10491,            0.081781,             0.10277,                   0,                   0,                   0,                   0,             0.10365,            0.059372,             0.10279,              0.0721,              0.0031,              0.0031
                   1,               0.104,            0.080004,             0.10266,                   0,                   0,                   0,                   0,               0.103,            0.059854,             0.10269,            0.043279,           0.0062792,           0.0062792
                   2,             0.10394,            0.078283,             0.10254,                   0,                   0,                   0,                   0,             0.10272,            0.060044,             0.10263,            0.014437,           0.0094373,           0.0094373
                   3,             0.10333,            0.081847,             0.10252,                   0,                   0,                   0,                   0,             0.10237,            0.060235,             0.10259,            0.009901,            0.009901,            0.009901
                   4,             0.10176,            0.081931,             0.10242,                   0,                   0,                   0,                   0,             0.10157,            0.060777,             0.10246,            0.009901,            0.009901,            0.009901
                   5,             0.10135,            0.073286,             0.10238,                   0,                   0,                   0,                   0,             0.10038,            0.061708,             0.10227,            0.009868,            0.009868,            0.009868
                   6,             0.10052,            0.075476,             0.10216,                   0,                   0,                   0,                   0,            0.099724,            0.062094,             0.10204,            0.009835,            0.009835,            0.009835
                   7,              0.1005,            0.083081,             0.10192,           0.0021507,           0.0070346,           0.0018663,          0.00039348,            0.099514,            0.061976,              0.1016,            0.009802,            0.009802,            0.009802
                   8,            0.099656,            0.092415,             0.10151,          0.00053164,           0.0036053,          0.00038767,           0.0001296,             0.10006,            0.061067,             0.10087,            0.009769,            0.009769,            0.009769
                   9,            0.098406,              0.0849,             0.10105,           0.0010649,           0.0098325,           0.0012594,          0.00024456,            0.098113,            0.061768,             0.10029,            0.009736,            0.009736,            0.009736
                  10,            0.097879,            0.083881,             0.10013,           0.0020991,            0.040683,           0.0017993,          0.00045575,            0.097278,              0.0617,            0.098998,            0.009703,            0.009703,            0.009703
                  11,            0.096361,            0.085592,            0.098414,           0.0013316,            0.046947,           0.0010185,          0.00027603,             0.10097,            0.090725,             0.10108,             0.00967,             0.00967,             0.00967
                  12,            0.097862,            0.073098,            0.098096,           0.0031061,            0.095088,           0.0039523,           0.0010179,            0.097143,            0.066247,            0.095843,            0.009637,            0.009637,            0.009637
                  13,            0.094998,            0.078557,            0.096864,           0.0028296,             0.10845,           0.0054576,           0.0012831,            0.096998,            0.075543,            0.094113,            0.009604,            0.009604,            0.009604
                  14,            0.093427,            0.082677,            0.094406,           0.0018712,            0.051055,           0.0018386,           0.0004211,              0.1038,             0.24828,             0.13746,            0.009571,            0.009571,            0.009571
                  15,            0.094008,            0.079228,            0.090356,           0.0018549,             0.06539,            0.001694,          0.00053801,             0.10207,             0.21367,             0.14693,            0.009538,            0.009538,            0.009538
                  16,            0.092059,            0.075684,            0.089985,           0.0020736,            0.096326,             0.00183,          0.00055967,            0.097399,            0.099804,            0.097414,            0.009505,            0.009505,            0.009505
                  17,            0.089938,            0.078813,            0.086274,            0.002946,             0.12232,              0.0055,           0.0011656,            0.096396,             0.13747,             0.10026,            0.009472,            0.009472,            0.009472
                  18,            0.089635,            0.088709,            0.087885,           0.0033088,             0.13047,           0.0035669,           0.0012138,            0.091282,            0.086385,            0.090609,            0.009439,            0.009439,            0.009439
                  19,            0.088434,            0.077528,            0.086664,           0.0026138,             0.14013,           0.0032791,          0.00097426,            0.091334,            0.083164,            0.089053,            0.009406,            0.009406,            0.009406
                  20,            0.085732,            0.079622,             0.08539,           0.0030361,             0.12823,           0.0044726,           0.0014727,            0.088549,            0.071519,            0.085625,            0.009373,            0.009373,            0.009373
                  21,            0.083884,            0.079972,            0.084066,           0.0042887,             0.20101,           0.0086235,           0.0028603,            0.084414,            0.059342,            0.082213,             0.00934,             0.00934,             0.00934
                  22,            0.082293,            0.085021,            0.084284,           0.0039811,             0.16966,           0.0062852,           0.0019645,            0.083109,            0.058427,            0.080688,            0.009307,            0.009307,            0.009307
                  23,            0.081097,            0.078553,            0.080899,           0.0039952,             0.18188,           0.0079757,           0.0026209,             0.08048,            0.061913,            0.080741,            0.009274,            0.009274,            0.009274
                  24,            0.080495,            0.079824,             0.07885,           0.0037822,             0.18718,           0.0089971,           0.0028851,            0.081225,            0.061299,            0.080428,            0.009241,            0.009241,            0.009241
                  25,            0.078762,            0.074937,            0.080534,             0.88415,            0.014524,            0.015433,           0.0060365,            0.080304,             0.06108,            0.079914,            0.009208,            0.009208,            0.009208
                  26,            0.077529,            0.079327,            0.080091,           0.0044978,             0.19763,           0.0085406,           0.0028667,            0.081173,            0.060297,            0.080248,            0.009175,            0.009175,            0.009175
                  27,            0.079351,            0.074618,            0.083563,           0.0052544,             0.22668,            0.012222,           0.0041731,            0.078086,            0.056864,            0.078733,            0.009142,            0.009142,            0.009142
                  28,            0.080815,            0.076927,            0.080008,           0.0051089,             0.22228,            0.012646,           0.0041783,            0.078249,            0.057086,             0.07823,            0.009109,            0.009109,            0.009109
                  29,            0.077475,            0.073933,            0.079283,           0.0049402,             0.20847,            0.014267,           0.0046991,            0.076569,            0.060387,            0.078475,            0.009076,            0.009076,            0.009076
                  30,            0.078821,            0.079867,            0.080604,           0.0043459,             0.17732,            0.013024,            0.004484,            0.080991,            0.062619,            0.078277,            0.009043,            0.009043,            0.009043
                  31,            0.078181,            0.076377,            0.078942,           0.0049972,             0.22661,            0.012322,           0.0041786,            0.076314,            0.057028,            0.077412,             0.00901,             0.00901,             0.00901
                  32,            0.077618,            0.079486,            0.081153,           0.0048948,             0.22817,            0.014943,           0.0059122,            0.074575,            0.054647,            0.076694,            0.008977,            0.008977,            0.008977
                  33,            0.075407,            0.080741,            0.079005,             0.50167,            0.056131,            0.023313,           0.0092012,            0.070096,            0.054493,            0.075861,            0.008944,            0.008944,            0.008944
                  34,             0.07288,            0.074323,            0.079798,             0.86184,            0.032432,            0.023005,           0.0088774,            0.073838,            0.055982,             0.07535,            0.008911,            0.008911,            0.008911
                  35,            0.073899,            0.078082,            0.077348,             0.86148,            0.031556,            0.031817,            0.012763,            0.071327,             0.05565,            0.075033,            0.008878,            0.008878,            0.008878
                  36,            0.073794,            0.078095,            0.077837,             0.86319,            0.032063,            0.034121,            0.012683,            0.073106,            0.056056,            0.074777,            0.008845,            0.008845,            0.008845
                  37,             0.07433,            0.074967,            0.080156,             0.49397,            0.075971,            0.037236,            0.015166,            0.072796,            0.052693,            0.074423,            0.008812,            0.008812,            0.008812
                  38,            0.071603,            0.075138,            0.077465,             0.73671,            0.055358,            0.045498,            0.018091,            0.068578,            0.052724,             0.07403,            0.008779,            0.008779,            0.008779
                  39,            0.070831,            0.073636,            0.078143,             0.42119,            0.099699,            0.034929,            0.013206,            0.070297,             0.05268,            0.073361,            0.008746,            0.008746,            0.008746
                  40,            0.073562,            0.073513,            0.078131,             0.88252,            0.029993,             0.03214,            0.012872,            0.072581,            0.053873,            0.073059,            0.008713,            0.008713,            0.008713
                  41,            0.072373,            0.070333,             0.07919,           0.0080325,             0.36304,            0.026274,           0.0089333,             0.07183,            0.050665,            0.072749,             0.00868,             0.00868,             0.00868
                  42,            0.073185,            0.072801,            0.076517,             0.94508,            0.025374,            0.041042,            0.017162,            0.067429,             0.05107,            0.072558,            0.008647,            0.008647,            0.008647
                  43,            0.068977,            0.070744,             0.07653,             0.89594,            0.030281,            0.037768,            0.014593,            0.066493,            0.050966,            0.072335,            0.008614,            0.008614,            0.008614
                  44,            0.069454,            0.068733,            0.077611,             0.88246,            0.030588,            0.041022,            0.017247,             0.06752,             0.04926,            0.071959,            0.008581,            0.008581,            0.008581
                  45,            0.069669,            0.074097,            0.076767,             0.85563,            0.034939,            0.038196,             0.01397,            0.067959,             0.04963,            0.071618,            0.008548,            0.008548,            0.008548
                  46,            0.069259,            0.066537,            0.073841,             0.88455,            0.032376,            0.043984,            0.017619,            0.066459,            0.050825,            0.071276,            0.008515,            0.008515,            0.008515
                  47,             0.07093,            0.071051,            0.074161,             0.81648,            0.040153,             0.03259,             0.01245,            0.070818,            0.049881,            0.071065,            0.008482,            0.008482,            0.008482
                  48,            0.070907,            0.067027,            0.078787,             0.88329,             0.03127,            0.046131,            0.020145,            0.065941,            0.049248,            0.071003,            0.008449,            0.008449,            0.008449
