               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12477,            0.057259,                   0,          0.00033333,            0.014706,          0.00017165,           3.518e-05,             0.11635,            0.063767,                   0,              0.0829,              0.0019,              0.0019
                   1,             0.11706,            0.064053,                   0,           0.0011667,            0.051471,          0.00061783,          0.00013593,             0.11066,            0.065906,                   0,            0.064887,           0.0038871,           0.0038871
                   2,             0.10938,            0.068404,                   0,             0.00675,             0.29779,           0.0064823,           0.0014547,             0.10506,            0.063075,                   0,            0.046861,           0.0058611,           0.0058611
                   3,              0.1052,            0.066484,                   0,             0.03286,             0.24265,            0.020333,           0.0044302,             0.11077,            0.065433,                   0,            0.028822,           0.0078218,           0.0078218
                   4,             0.11347,            0.048655,                   0,            0.024804,             0.11397,           0.0095917,            0.001981,             0.11755,            0.039931,                   0,            0.010769,           0.0097693,           0.0097693
                   5,             0.11517,            0.036874,                   0,            0.064218,             0.19118,            0.025697,           0.0043082,             0.11602,            0.033989,                   0,            0.009835,            0.009835,            0.009835
                   6,             0.10403,            0.041799,                   0,            0.042587,             0.20221,            0.018575,           0.0036022,             0.11608,            0.031356,                   0,            0.009835,            0.009835,            0.009835
                   7,             0.10945,            0.033813,                   0,            0.059605,             0.15809,            0.028237,            0.005518,                0.12,            0.029172,                   0,            0.009802,            0.009802,            0.009802
                   8,             0.10794,            0.033539,                   0,             0.30407,             0.21691,             0.20592,             0.04365,             0.11022,            0.034003,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.099965,            0.034058,                   0,            0.056269,             0.47794,            0.045249,           0.0095866,             0.11112,            0.042898,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.091487,            0.034885,                   0,             0.30373,             0.63235,             0.27733,            0.079213,            0.083883,             0.04186,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.084751,            0.045606,                   0,             0.19996,               0.625,             0.17346,            0.040562,            0.088416,            0.037558,                   0,             0.00967,             0.00967,             0.00967
                  12,             0.08703,            0.036091,                   0,              0.4351,              0.7674,             0.55072,             0.17097,            0.080014,            0.035717,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.081139,            0.036462,                   0,             0.61411,             0.49632,             0.59076,             0.23104,            0.092822,            0.033792,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.087316,            0.033108,                   0,             0.39505,              0.5666,             0.38716,             0.09441,            0.081241,            0.033576,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.075985,            0.040783,                   0,               0.791,             0.74632,             0.85317,             0.31996,            0.070525,            0.036599,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.073433,            0.036732,                   0,             0.61837,             0.75735,             0.64642,             0.24171,            0.069626,            0.033613,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.071846,            0.038234,                   0,             0.79683,             0.68015,             0.81674,             0.35327,            0.068597,            0.035163,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.072233,            0.036841,                   0,             0.21237,             0.65809,             0.22169,            0.057118,            0.078204,            0.031701,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.070444,            0.033772,                   0,             0.88308,             0.86029,             0.92065,             0.42658,            0.062441,            0.031941,                   0,            0.009406,            0.009406,            0.009406
                  20,             0.06445,            0.034882,                   0,             0.71362,             0.88235,             0.79145,             0.34762,            0.062256,              0.0327,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.066347,            0.034937,                   0,             0.58578,             0.75735,             0.59489,             0.20955,             0.06141,            0.032743,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.061273,             0.03338,                   0,             0.90186,             0.86765,             0.86326,             0.43122,            0.051687,            0.032043,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.060516,              0.0343,                   0,             0.72108,             0.86492,             0.88659,             0.37128,            0.058166,            0.032858,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.060946,            0.034698,                   0,             0.87047,             0.94118,             0.94039,             0.46936,            0.052073,            0.030385,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.057367,            0.032607,                   0,             0.84912,             0.93104,             0.94003,              0.4445,            0.060619,            0.031366,                   0,            0.009208,            0.009208,            0.009208
                  26,             0.06254,            0.031407,                   0,             0.93444,             0.95221,             0.95274,             0.51002,            0.046173,            0.031037,                   0,            0.009175,            0.009175,            0.009175
                  27,             0.04858,            0.031729,                   0,             0.65092,             0.95588,             0.82045,             0.44589,            0.049547,             0.03254,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.051994,            0.031848,                   0,             0.84525,             0.86765,             0.86931,             0.36023,            0.054104,            0.031621,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.052948,            0.033236,                   0,              0.9229,             0.95221,             0.94522,             0.45978,            0.048185,            0.032178,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.053302,            0.032756,                   0,             0.90891,             0.95588,             0.96504,             0.46951,            0.049385,            0.030549,                   0,            0.009043,            0.009043,            0.009043
                  31,             0.04949,            0.032639,                   0,             0.93583,             0.96505,             0.96471,             0.52302,            0.050278,            0.031481,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.048632,            0.033028,                   0,             0.84236,             0.87132,              0.9139,             0.37712,            0.050764,            0.032451,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.047446,            0.031976,                   0,             0.87363,             0.86418,             0.95144,             0.50908,             0.03931,             0.03174,                   0,            0.008944,            0.008944,            0.008944
                  34,             0.04042,            0.031836,                   0,             0.82599,             0.94853,             0.93847,             0.46645,            0.039677,            0.031085,                   0,            0.008911,            0.008911,            0.008911
                  35,            0.043717,            0.034091,                   0,             0.70874,             0.95221,             0.87605,             0.33256,            0.039482,            0.032834,                   0,            0.008878,            0.008878,            0.008878
                  36,            0.045496,             0.03438,                   0,             0.89245,             0.91176,              0.8697,             0.32062,             0.04491,            0.031835,                   0,            0.008845,            0.008845,            0.008845
                  37,            0.049251,            0.032749,                   0,              0.7571,             0.92647,             0.79025,             0.30411,            0.047771,            0.031227,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.045887,            0.033929,                   0,             0.93132,             0.96324,             0.96856,             0.51064,            0.036518,            0.030511,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.039798,             0.02978,                   0,             0.90928,             0.97059,             0.96829,             0.52168,            0.035984,            0.029404,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.041109,            0.029837,                   0,             0.85465,             0.93015,              0.8905,             0.38639,            0.043054,            0.031906,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.044598,            0.031234,                   0,             0.96184,             0.96324,             0.96797,             0.48247,            0.035524,            0.031546,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.040334,            0.032659,                   0,             0.90802,             0.94485,             0.93659,             0.41038,            0.037568,            0.030549,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.036135,            0.035217,                   0,             0.98833,             0.97794,             0.98703,             0.58779,             0.02936,            0.028505,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.035164,            0.030745,                   0,             0.94959,             0.94853,             0.95203,             0.39301,            0.047782,            0.030535,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.040442,            0.032461,                   0,             0.98516,             0.97648,             0.98301,             0.60227,            0.030582,            0.027792,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.034253,             0.03218,                   0,             0.98884,             0.97714,              0.9882,             0.61431,            0.031036,            0.028721,                   0,            0.008515,            0.008515,            0.008515
                  47,             0.03317,            0.032321,                   0,             0.98869,             0.97794,             0.98482,             0.63329,            0.031147,            0.028846,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.036088,            0.032773,                   0,             0.98148,             0.97402,             0.97807,             0.54128,            0.033963,            0.030082,                   0,            0.008449,            0.008449,            0.008449
                  49,             0.03905,            0.030387,                   0,             0.97421,             0.97229,             0.97369,             0.51868,            0.039592,            0.030928,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.038041,            0.031759,                   0,             0.96295,             0.95545,             0.95496,             0.42553,            0.042962,            0.030374,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.039932,            0.031514,                   0,             0.98512,             0.97331,              0.9822,             0.56436,            0.032288,            0.029776,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.032356,            0.029318,                   0,             0.97396,             0.96267,             0.96081,             0.58712,            0.033727,            0.028703,                   0,            0.008317,            0.008317,            0.008317
