               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12837,            0.056104,                   0,          0.00015152,           0.0075188,          7.8951e-05,          7.8951e-06,             0.12079,            0.060521,                   0,              0.0919,              0.0009,              0.0009
                   1,             0.12458,            0.055944,                   0,          0.00015152,           0.0075188,          8.0061e-05,          8.0061e-06,             0.11422,            0.067287,                   0,            0.082894,           0.0018937,           0.0018937
                   2,             0.11884,            0.059408,                   0,          0.00045455,            0.022556,          0.00027575,          8.3375e-05,             0.11051,            0.070497,                   0,            0.073881,           0.0028809,           0.0028809
                   3,              0.1139,            0.063428,                   0,          0.00090909,            0.045113,          0.00064104,          0.00012889,             0.10801,            0.071303,                   0,            0.064861,           0.0038614,           0.0038614
                   4,             0.11301,            0.071378,                   0,          0.00075758,            0.037594,          0.00057292,          9.9206e-05,             0.10519,            0.070781,                   0,            0.055835,           0.0048353,           0.0048353
                   5,             0.10626,            0.073369,                   0,           0.0071212,             0.35338,           0.0065836,           0.0014198,             0.10261,            0.068074,                   0,            0.046803,           0.0058027,           0.0058027
                   6,             0.10353,            0.071135,                   0,            0.014545,              0.7218,            0.062745,            0.013541,             0.10031,            0.065625,                   0,            0.037763,           0.0067634,           0.0067634
                   7,             0.10362,            0.059682,                   0,            0.087738,             0.26316,            0.060476,            0.014006,             0.10141,            0.056972,                   0,            0.028718,           0.0077175,           0.0077175
                   8,             0.10376,            0.052006,                   0,            0.067088,              0.2406,            0.056336,            0.010606,             0.10189,            0.058614,                   0,            0.019665,            0.008665,            0.008665
                   9,             0.10262,            0.057781,                   0,           0.0062121,             0.30827,            0.004968,           0.0010472,             0.12816,            0.033328,                   0,            0.010606,            0.009606,            0.009606
                  10,             0.12779,            0.030995,                   0,            0.026518,             0.28571,            0.018897,           0.0038981,             0.12316,            0.032405,                   0,             0.00967,             0.00967,             0.00967
                  11,             0.11958,            0.033541,                   0,             0.15879,             0.13534,            0.058921,            0.011345,             0.11826,            0.031951,                   0,             0.00967,             0.00967,             0.00967
                  12,              0.1147,            0.034458,                   0,             0.19166,             0.25564,            0.098659,            0.020292,             0.11326,            0.035637,                   0,            0.009637,            0.009637,            0.009637
                  13,             0.11319,            0.035082,                   0,             0.21933,             0.38346,              0.1553,            0.032334,             0.11664,            0.033214,                   0,            0.009604,            0.009604,            0.009604
                  14,             0.11521,            0.031395,                   0,             0.08343,              0.2406,            0.049321,           0.0072038,             0.12743,            0.024045,                   0,            0.009571,            0.009571,            0.009571
